id,company_nameTh,company_nameEn,position_title,quota,salary_amount,salary_type,work_type,location,Start Date,End Date,inStudentDraftCount,tags,description_html,api_url
1039,บริษัท บี.กริม เพาเวอร์ จำกัด (มหาชน),B.Grimm Power Public Company Limited,นักศึกษาฝึกงาน (Digital Transformation),1,350.0,บาท/วัน,On-Site,"Head Office, Krungthep Kreetha",,,2,"UX/UI, infrastructure, Developer, Data Engineer, Data Scientist, Network, Security, Security Policy","<p><strong>Location: </strong>Head Office, Krungthep Kreetha, Huamark, Bangkapi 10240</p><p>To join B.Grimm Digital CEDT internship program during June - July 2026</p><p><br></p><p><strong>Job Scope: </strong></p><ol><li><strong>Explore and familiarize with enterprise data ecosystem and digital infrastructure: </strong>To understand the organization’s digital landscape — data sources, cloud setup, and application systems — and identify areas where data or AI solutions can add business value.</li><li><strong>Cloud Infrastructure and Data Pipeline Setup:</strong> To explore cloud architecture and Data pipeline tools (e.g., AWS, DataZone, Redshift, etc). Build foundational knowledge of data ingestion, transformation, and pipeline automation for analytics and AI projects. Key is to make data ready for usage</li><li><strong>Data Analytics and Visualization:</strong> To conduct data analysis and visualize insights through BI tools (Power BI, Quicksight). Interpret insights that support business decisions and identify potential predictive use cases.</li><li><strong>Either AI and Machine Learning Exploration (Chatbot / Predictive / Sentiment Use Cases) or Application Development, API Integration, and UX/UI Design:</strong> To explore AI applications such as chatbot design, customer sentiment analysis, and predictive analytics. Understand data preparation, model workflow, and evaluation techniques. or To apply good coding standards, automation scripts, and testing frameworks for QA. Validate system functionality, data accuracy, and performance using structured testing approaches.</li><li><strong>Final Project and Presentation:</strong> To deliver an end-to-end digital solution combining data pipeline, analytics dashboard, AI function (e.g., chatbot), and user interface prototype. Present findings and outcomes to management.</li></ol>",https://cedtintern.cp.eng.chula.ac.th/api/sessions/5/openings?search=&page=1&limit=20&onlyBookmarked=false&onlyAvailablePositions=false
1043,บริษัท อโยเดีย จำกัด,Ayodia,Programmer,2,200.0,บาท/วัน,On-Site,สำนักงานใหญ่,,,0,"Angular, ASP.NET Web API และ Entity Framework",<p><strong>รายละเอียดงาน</strong></p><ul><li>พัฒนาระบบใหม่ให้เสร็จตรงตามเวลาตามที่ได้รับมอบหมาย</li><li>แก้ไขข้อผิดพลาดและดูแลรักษาระบบเดิมที่เคยพัฒนา และอยู่ในช่วง MA ให้ทำงานได้ราบรื่น</li><li>วิเคราะห์ และหาแนวทางป้องกันสิ่งที่อาจเกิดขึ้นกับระบบ&nbsp;</li></ul><p>&nbsp;</p>,https://cedtintern.cp.eng.chula.ac.th/api/sessions/5/openings?search=&page=1&limit=20&onlyBookmarked=false&onlyAvailablePositions=false
1046,บริษัท ดีมีเตอร์ ไอซีที จำกัด,Demeter ICT,Data Analyst Internship,1,,,,สำนักงานใหญ่,,,3,,<h3><strong>Job Description:</strong></h3><ul><li>Assist in analyzing and cleaning large datasets.</li><li>Contribute to the development and maintenance of dashboards and reports.</li><li>Collaborate with cross-functional teams to provide data-driven insights.</li><li>Support data collection processes and documentation.</li><li>Identify actionable insights and suggest recommendations for data-driven marketing campaigns.</li><li>Interact and collaborate with product and marketing managers to provide impactful analysis and insights that align with business objectives.</li><li>Provide business requirements and collaborate with internal teams on a data capture strategy that will support advanced analysis and insights on consumer behavior.</li></ul><p><br></p>,https://cedtintern.cp.eng.chula.ac.th/api/sessions/5/openings?search=&page=1&limit=20&onlyBookmarked=false&onlyAvailablePositions=false
1055,บริษัท ช็อคโก้ คาร์ด เอ็นเตอร์ไพรส์ จำกัด (ChocoCRM),"CHOCO CARD ENTERPRISE Co., Ltd.",Backend Developer ,4,200.0,บาท/วัน,Hybrid,บริษัท ช็อคโก้ คาร์ด เอ็นเตอร์ไพรส์ จำกัด,2026-04-30T17:00:00.000Z,2026-07-30T17:00:00.000Z,1,"C#, SQL, Backend, Developer, .Net Core, web application, CRM, Web Developer, API, CDP, POS","<ul><li>Planning, designing and developing web applications in terms of CRM (Customer Relationship Management), Data Management Platform CDP (Customer Data Platform) and POS (Point of Sale) in the back of the house. (Back-office)</li><li>Design database, basic SQL commands, write API (CRUD) with .Net Core</li><li>Develop and maintain pragmatic high-quality software to support business requirements.</li><li>Work closely with Project Managers, Product Owners and Business Analyst to understand business goals and system requirements</li><li>Work closely with Quality Assurance Team to create practical use cases &amp; scenario which become service best practices</li><li>Work with Technology team to build a maintainable technology infrastructure including build &amp; testing environment.</li><li>Able to learn and research technology for improve skill and problem solving.</li></ul>",https://cedtintern.cp.eng.chula.ac.th/api/sessions/5/openings?search=&page=1&limit=20&onlyBookmarked=false&onlyAvailablePositions=false
1061,ธนาคารกรุงศรีอยุธยา จำกัด (มหาชน),Bank of Ayudhya Plc.,Venture Intern - Research Team,5,,,Hybrid,อาคารกรุงศรี สำนักงานเพลินจิต,,,14,,"<p><strong>Job description</strong></p><p>⁃ Support Krungsri Finnovate team on doing the researches, and ad hoc works including some presentations</p><p>⁃ Help team take notes on some meetings with startups</p><p>⁃ Support any ecosystem activities that may be assigned</p><p>⁃ Other works that will be assigned</p><p><br></p><p><strong> Opportunities</strong></p><p>⁃ Learn from startup pitches</p><p>⁃ Learn from the team</p><p>⁃ Attend different activities in Ecosystem together with the team</p><p><br></p><p><strong> Requirement</strong></p><p>⁃ Have good or some interest in businesses spaces, especially related to startups</p><p>⁃ Can research, communicate, and work in both English and Thai</p><p>⁃ Mostly the work is remote with some onsite meetings (normally around once a week, one month maybe around 4-5 times)</p><p>⁃ Can do mindset, self-motivated and eagerness to learn</p>",https://cedtintern.cp.eng.chula.ac.th/api/sessions/5/openings?search=&page=1&limit=20&onlyBookmarked=false&onlyAvailablePositions=false
1068,บริษัท บลูบิค กรุ๊ป จำกัด (มหาชน),Bluebik,Data Engineer,1,300.0,บาท/วัน,Hybrid,Bluebik Group,,,11,"SQL, Data Engineer, Python, Cloud","<p><strong>About Bluebik – Ambition to Reality</strong></p><p>Bluebik is the leading consultancy focusing on comprehensive advice on digital transformation to transform the capabilities of our clients through technological application. We provide transformation consulting consists of Management Consulting – advice on strategies and management, Digital Excellence &amp; Delivery covering in-depth recommendations on digital and technological development within organizations, Strategic PMO – advice on tangible benefits and significant cost saving through clients’ business process, Big Data &amp; Advanced Analytics – provide end to end solution for Big Data &amp; Advanced Analytics from strategy to implementation.</p><p><br></p><p><strong>Work you will do</strong></p><p>• Support and maintain data pipeline.</p><p>• Assist to identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, infrastructure, etc.</p><p>• Implement data pipeline utilizing processing tools used in Big data platforms.</p><p>• Work closely with stakeholders and team member such as data scientists, developers and business domain personal.</p><p><br></p><p><strong>Let us Talk About You</strong></p><p>If you are someone with:</p><p>• Willing to learn new things outside of comfort zone.</p><p>• Good command of written and spoken Thai and English.</p><p>• Strong analytical and problem-solving skills.</p><p>• A good team player.</p><p><br></p><p><strong>Why work with us</strong></p><p>We are a team of experts in a talented community, a collaborative atmosphere where creativity is encouraged. People First, by putting people at the heart of our priorities, we foster a work environment where you can excel and grow personally and professionally. Bluebik is strived for growth and expansion, and you can be part of our success story. We combine strategy, digital delivery excellence and deep technology advisory to help our clients transform their business. At Bluebik, your career advancement starts with actions. You can manage your own career and will advance based on performance. We collaborate to create unique and outstanding experiences with our talents to empower learning and growth opportunities. Whatever your ambitions, Bluebik offers you with a highly inclusive community of talents from both tech and business worlds to realize your full potential.</p>",https://cedtintern.cp.eng.chula.ac.th/api/sessions/5/openings?search=&page=1&limit=20&onlyBookmarked=false&onlyAvailablePositions=false
1069,บริษัท บลูบิค กรุ๊ป จำกัด (มหาชน),Bluebik,Cybersecurity Consultant ,1,300.0,บาท/วัน,Hybrid,Bluebik Group,,,10,,"<p><strong>About Bluebik – Ambition to Reality</strong></p><p>Bluebik is the leading consultancy focusing on comprehensive advice on digital transformation to transform the capabilities of our clients through technological application. We provide transformation consulting consists of Management Consulting – advice on strategies and management, Digital Excellence &amp; Delivery covering in-depth recommendations on digital and technological development within organizations, Strategic PMO – advice on tangible benefits and significant cost saving through clients’ business process, Big Data &amp; Advanced Analytics – provide end to end solution for Big Data &amp; Advanced Analytics from strategy to implementation.</p><p><br></p><p><strong>Work you will do</strong></p><p>• Assist in cyber posture management, including vulnerability assessments, risk analysis, and recommending security improvements.</p><p>• Participate in adversary simulations to identify gaps in organizational defenses through penetration testing and red/blue team exercises.</p><p>• Support the incident response team in handling and investigating cyber breaches, assisting in root cause analysis and remediation efforts.</p><p>• Conduct research on emerging cybersecurity threats, tools, and trends to help inform and improve consulting practices.</p><p>• Assist in drafting cybersecurity policies, best practices, and strategic recommendations for client organizations.</p><p>• Prepare reports and presentations summarizing assessments, findings, and recommendations.</p><p><br></p><p><strong>Let us Talk About You</strong></p><p>If you are someone with:</p><ul><li>Penetration Testing</li><li>Cybersecurity Strategy, Governance, Risk, and Compliance</li><li>Digital Forensics and Incident Response</li></ul><p><br></p><p><strong>Why work with us</strong></p><p>We are a team of experts in a talented community, a collaborative atmosphere where creativity is encouraged. People First, by putting people at the heart of our priorities, we foster a work environment where you can excel and grow personally and professionally. Bluebik is strived for growth and expansion, and you can be part of our success story. We combine strategy, digital delivery excellence and deep technology advisory to help our clients transform their business. At Bluebik, your career advancement starts with actions. You can manage your own career and will advance based on performance. We collaborate to create unique and outstanding experiences with our talents to empower learning and growth opportunities. Whatever your ambitions, Bluebik offers you with a highly inclusive community of talents from both tech and business worlds to realize your full potential.</p>",https://cedtintern.cp.eng.chula.ac.th/api/sessions/5/openings?search=&page=1&limit=20&onlyBookmarked=false&onlyAvailablePositions=false
1071,บริษัท โกไฟว์ จำกัด,gofive,Internship Developer,5,200.0,บาท/วัน,Work From Home,สาขา FYI Center (พระรามที่ 4) ,,,1,"Software Engineer, C#, Developer, .Net Core, web application, FullStack, SAAS","<p><strong style=""color: rgb(28, 28, 34);"">Job Overview</strong></p><p>Calling all tech enthusiasts!  If you’re a student in Computer Engineering, Computer Sciences, or a related field, this is your chance to dive into the world of cutting-edge development and turn your skills into real-world impact.</p><p><br></p><p><strong>Why Join Us?</strong></p><p>Get hands-on experience with a tech stack that’s shaping the future: .NET Core, C#, Angular, TypeScript, Next.js, SQL Server, and more! You’ll work in a dynamic, agile environment, solving exciting challenges alongside a passionate team that’s redefining possibilities.</p><p><br></p><p><strong>Open to Full Stack, Front-end, Back-end, Flutter Developers, or others – let us know what excites you!</strong></p><p><br></p><p><strong style=""color: rgb(28, 28, 34);"">Responsibilities</strong></p><ol><li>Work with product/project managers and business analysts to understand business goals and requirements.</li><li>Analyze requirements, design, and develop functionalities based on the product requirements.</li><li>Work in an agile environment to build/develop features based on a web technology stack including .NET Core, C#, Angular, TypeScript, Next.js, and SQL Server.</li><li>Collaborate with team members to deliver high-quality software with good performance and thorough documentation.</li><li>Work with internal or external stakeholders to develop software integration with other systems.</li><li>Understand the product thoroughly, constantly optimize the product, identify and fix problems, and improve stability and user experience.</li><li>Design the architecture of services.</li><li>Take a lead on projects as needed.</li></ol><p><br></p><p><strong style=""color: rgb(28, 28, 34);"">Qualifications</strong></p><ol><li>Currently pursuing a Computer Engineering, Computer Sciences, Information Systems, or related fields</li><li>Experience with .NET Core, C#, Angular, TypeScript, Next.js, and SQL Server</li><li>Positive attitude, customer-service minded, with strong analytical and problem-solving skills</li><li>Ability to work as part of a team and handle pressure</li><li>Self-development skills to stay up-to-date with fast-changing trends</li><li>Self-motivated, fast learner, detail-oriented, and a team player</li></ol>",https://cedtintern.cp.eng.chula.ac.th/api/sessions/5/openings?search=&page=1&limit=20&onlyBookmarked=false&onlyAvailablePositions=false
1072,บริษัท โกไฟว์ จำกัด,gofive,Internship Automate Tester,3,200.0,บาท/วัน,Work From Home,สาขา FYI Center (พระรามที่ 4) ,,,1,"automated testing, playwright, Postman, JMeter","<p><strong style=""color: rgb(28, 28, 34);"">Job Overview</strong></p><p>Ready to launch your QA superpowers? 🚀 Join Gofive as an Automation Tester Intern and help build software that people <em>love</em> to use. You’ll design and run real test cases, spin up slick automation (hello, Playwright!), dip your toes into performance testing, and be part of a squad that ships with confidence. Come learn fast, ship smart, and make your mark.</p><p><br></p><p><strong>What you'll learn:</strong></p><ol><li>Practical test design techniques (boundary, equivalence, risk-based testing).</li><li>Automation frameworks (Playwright), API testing workflows, and CI basics.</li><li>Performance testing fundamentals (workload modeling, metrics like latency/throughput).</li><li>Defect lifecycle and crisp communication with engineers and product partners.</li><li>How product, design, and engineering work together to deliver high-quality releases.</li></ol><p><br></p><p><strong style=""color: rgb(28, 28, 34);"">Responsibilities</strong></p><ol><li>Co-create and execute system test cases to prove our features work flawlessly (and break things the <em>right</em> way).</li><li>Capture test results like a pro and share crisp, actionable feedback with devs.</li><li>Craft functional &amp; non-functional test cases for each sprint—mentored, but with real ownership.</li><li>Log bugs with clear steps, evidence (screenshots/vids), and expected vs. actual—no mysteries left behind.</li><li>Build and run UI automation (Playwright) and API automation to boost coverage and speed.</li><li>Join design chats to sprinkle QA magic on UX/UI, tech tasks, and user stories.</li><li>Keep a pulse on production: watch dashboards/logs, spot issues early, and help verify fixes.</li><li>Try your hand at performance testing with JMeter (plus exposure to LoadRunner) and learn how to read the signals.</li><li>Team up with developers, product owners, and designers in our agile rhythm to squash issues fast.</li><li>Help plan and run UAT—test data, scenarios, checklists, and smooth sign-off.</li></ol><p><br></p><p><strong style=""color: rgb(28, 28, 34);"">Qualifications</strong></p><ol><li>Pursuing or recently finished a Bachelor’s in Computer Engineering/Computer Science (or related).</li><li>Know the testing basics (test cases, regression, defect reporting); project/coursework/internship experience is a bonus.</li><li>Curious about automation &amp; performance tools—Playwright, Postman/REST, JMeter (learning mindset &gt; years of experience).</li><li>Exposure to coding, business, or design earns extra credit.</li><li>Comfortable with SQL fundamentals (SELECTs, JOINs) is a plus.</li><li>A proactive team player who thrives in fast-moving spaces—ask great questions, take feedback, level up.</li><li>Thai &amp; English communication—clear, friendly, and professional.</li></ol><p><br></p>",https://cedtintern.cp.eng.chula.ac.th/api/sessions/5/openings?search=&page=1&limit=20&onlyBookmarked=false&onlyAvailablePositions=false
1075,บริษัท โกไฟว์ จำกัด,gofive,Internship Flutter Mobile Developer,2,,,,สาขา FYI Center (พระรามที่ 4) ,,,0,,"<p><strong style=""color: rgb(28, 28, 34);"">Job Overview</strong></p><p>We are looking for a Flutter Mobile Developer Intern to join our team and gain hands-on experience in developing and maintaining mobile applications. As an intern, you will collaborate with our developers, designers, and product managers to learn best practices in mobile app development, improve your coding skills, and understand the full software development life cycle (SDLC).</p><p><br></p><p><strong style=""color: rgb(28, 28, 34);"">Responsibilities</strong></p><ol><li>Assist in developing and maintaining mobile applications using Flutter and Dart.</li><li>Collaborate with cross-functional teams to deliver quality software.</li><li>Learn and apply software development best practices (Clean Architecture, MVC, MVVM).</li><li>Write clean and testable code under guidance from senior developers.</li><li>Participate in testing, debugging, and troubleshooting for smooth user experiences.</li><li>Contribute to code reviews and learn from feedback.</li><li>Stay updated with new technologies and trends in mobile development.</li></ol><p><br></p><p><strong style=""color: rgb(28, 28, 34);"">Qualifications</strong></p><ol><li>Basic knowledge of Flutter and Dart.</li><li>Familiarity with mobile app development principles (Android or iOS).</li><li>Interest in Clean Architecture, MVC, or MVVM is a plus.</li><li>Knowledge of CI/CD, DevOps, or app deployment is a bonus.</li><li>Eagerness to learn and take on new challenges.</li><li>Ability to work independently and as part of a team.</li><li>Good problem-solving skills and attention to detail.</li><li>Familiarity with Agile methodologies is a plus.</li><li>Open to new graduates or students in their 1st - final year.</li></ol>",https://cedtintern.cp.eng.chula.ac.th/api/sessions/5/openings?search=&page=1&limit=20&onlyBookmarked=false&onlyAvailablePositions=false
